,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 19:19:08.035000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-11.875,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:09.044000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.562,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:10.053000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.562,-11.875,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:11.219000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129,-11.5,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:12.219000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:43.801000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:44.861000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.001,-0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:45.870000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.002,-0.001,-0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:46.881000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.001,0.003,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:47.890000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:48.890000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.001,-0.002,-0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:49.904000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.003,-0.002,-0.004,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:50.911000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.001,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:51.960000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.002,0.001,0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
