temperature_value,vibration_magnitude,temperature_warning,vibration_warning,shutdown_decision
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.4012445984561,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.40386090922234,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.414807486082761,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.446089137839003,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.306949016729382,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.484207926864531,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.454448688315992,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.455707271272733,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.516995324155623,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.33257735033576,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.483886334198656,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.42983032721162,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.363594395316364,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.513500932884801,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
22.0,9.524022259528797,False,True,True
